Xc,TA,Ypc,IPX,Mk,PI
5807261,22.01,37630.79,88.83,21.99,89.89
6894968,21.45,37482.38,88.54,18.21,90.25
8305425,21.92,37688.84,88.33,19.72,90.36
5852395,21.21,37805.00,89.51,24.84,90.30
10268348,21.81,37818.00,89.95,22.72,90.46
9281622,21.67,38015.82,89.78,20.66,90.76
7289043,22.08,38217.41,89.78,26.74,90.94
6410347,21.48,37998.20,89.50,22.18,90.79
6144758,22.08,38164.76,88.64,19.26,90.26
7196390,22.16,38120.04,89.18,22.18,89.42
7849682,21.22,38280.96,89.53,20.49,88.37
7633429,22.11,38524.74,90.91,21.46,87.50
6539998,22.80,38521.97,90.34,28.22,87.03
7286902,22.42,38738.13,90.93,16.37,86.77
6983814,21.75,38587.50,91.16,28.68,86.69
9100051,22.80,38834.96,91.78,23.42,86.73
9051421,22.40,38835.95,91.64,27.47,86.71
8505475,22.12,39256.62,91.01,22.76,86.71
7353048,22.05,39446.21,90.94,27.89,86.73
11184861,22.90,39761.47,90.26,17.15,86.80
5032138,21.78,40053.25,90.57,22.95,86.95
4623448,21.97,40132.55,91.62,21.23,87.05
3223901,22.08,40391.54,91.36,20.75,87.22
3970988,21.99,40529.92,90.88,20.43,87.53
2298965,26.29,40424.79,90.66,23.00,87.69
2950327,23.58,40804.30,91.22,18.66,87.74
3253113,23.54,41138.74,91.84,21.36,87.90
2387903,24.12,41099.86,92.91,19.32,88.19
3953532,24.01,41559.73,93.18,21.01,88.47
2920005,23.84,41375.78,92.53,23.96,88.79
4100869,24.48,41852.75,93.60,23.77,89.20
2873896,23.87,41888.63,94.05,20.48,89.49
3265895,24.09,41972.42,93.81,19.91,89.41
3528270,23.70,42387.98,93.78,27.59,89.13
2477992,23.89,42498.57,94.32,23.22,89.09
2404238,24.16,42748.02,95.72,24.88,89.49
2169272,26.78,43235.62,94.10,23.75,90.15
3060844,24.94,43205.84,95.57,19.45,90.76
4304932,25.71,43353.55,95.91,22.73,91.08
3541913,24.54,43480.48,96.15,23.92,91.48
2865518,25.54,43549.49,95.95,27.93,92.30
4797480,25.40,43996.67,96.68,30.62,93.15
2724886,25.44,44213.51,96.62,28.00,93.79
1687493,25.11,44389.38,95.95,32.33,94.39
1630369,25.02,44448.72,95.96,22.57,95.08
2238525,24.68,44606.65,97.62,24.82,95.77
1882570,25.46,44802.77,98.71,21.94,96.12
1822419,25.06,45221.14,101.02,25.22,95.85
1740651,27.86,45448.20,97.93,25.71,95.20
1848508,27.09,45597.66,99.47,30.37,94.72
864196,26.62,46027.20,99.03,23.38,94.77
925191,26.50,45916.00,99.46,24.42,94.98
1797024,26.40,46178.07,99.44,31.54,95.07
2164734,26.52,46137.37,100.10,35.77,95.21
1862053,26.88,46127.91,99.25,28.93,95.54
1801441,26.35,46401.77,100.96,32.33,96.02
821464,26.88,46524.73,99.12,28.02,96.44
1083043,27.03,46591.70,100.45,31.27,96.79
971072,26.62,46867.23,101.01,34.93,97.25
1585701,26.26,46938.35,102.90,34.34,97.77
1075640,29.35,47037.12,101.79,30.08,98.26
1530429,28.41,47514.12,102.19,31.01,98.76
1866630,26.61,47246.14,100.94,36.99,99.18
1412302,28.43,47656.49,101.59,28.31,99.56
2337487,27.60,47737.82,101.12,43.89,99.99
2378604,27.66,47816.41,101.05,31.68,100.28
1714823,27.60,47695.12,102.12,34.38,100.32
1404166,28.02,48250.52,100.95,41.96,100.24
1673201,27.84,48411.20,101.44,35.14,100.26
3490443,27.51,48366.01,99.85,49.41,100.48
994985,27.44,48491.53,100.80,43.67,100.56
1119607,27.99,48585.93,103.46,34.15,100.49
961740,31.47,48646.78,104.73,36.86,100.57
1163693,28.88,48019.32,106.17,43.73,100.81
1780245,30.59,48158.07,106.24,35.09,101.02
1444757,29.06,48368.67,106.64,40.21,101.10
1888902,29.89,48470.31,106.93,36.76,101.01
1756544,29.75,49191.68,109.13,36.13,100.86
2022306,28.97,48935.87,110.97,47.67,100.74
1192399,30.72,48710.67,112.30,31.48,100.60
1850274,31.46,48320.59,112.51,38.17,100.41
2156469,30.17,47935.60,111.28,47.73,100.09
1924494,33.32,47952.86,112.63,37.24,99.52
1897645,31.67,47031.82,110.74,37.18,98.82
1091858,21.57,47177.49,110.97,34.31,98.16
874529,25.33,47047.91,109.43,33.21,97.36
875238,24.77,46788.80,107.44,31.08,97.38
539509,24.96,46741.18,111.67,32.13,100.04
953945,24.86,46765.91,107.17,27.24,99.51
1822700,24.23,46809.97,106.58,30.22,101.32
1220152,23.79,46686.16,104.88,32.66,93.95
787437,25.00,46994.09,107.40,26.05,95.16
1490467,23.69,46972.24,108.90,38.35,97.81
648827,24.50,47623.01,105.00,30.27,97.92
1962544,24.26,47499.79,106.88,34.53,99.53
1819370,23.99,47226.48,106.66,26.38,98.44
680996,33.17,47521.35,106.21,33.55,100.62
864582,27.81,47559.73,107.06,26.86,101.11
1541632,27.90,47889.92,107.00,33.08,97.99
1729962,28.61,48175.49,107.76,35.00,99.34
1817136,27.60,48147.03,109.01,38.21,99.38
2494179,28.12,48375.69,109.81,35.96,99.15
2315382,28.37,48569.89,109.36,33.56,100.74
1937980,27.81,48537.91,111.48,31.30,101.15
2022180,28.47,48797.39,111.08,34.46,99.30
2443794,27.84,49008.33,111.47,36.78,101.84
2753452,28.21,48913.47,111.55,31.04,100.98
2962498,27.83,49249.95,114.27,33.95,98.41
716682,33.36,48824.12,114.72,35.11,103.25
3662772,31.74,48911.17,116.19,35.28,104.19
3540459,30.32,49632.47,116.74,38.36,105.30
2508678,31.07,49833.90,117.01,38.18,106.34
